,Symbol,Name,Enterprise Value,Market Cap,Trailing Annual Dividend Yield,EBIT,Net Income Applicable To Common Shares,Total Current Assets,Total Current Liabilities,Property Plant Equipment,Total Stockholder Equity,Long Term Debt,Depreciation,Total Cash From Operating Activities,Capital Expenditures
0,ABBV,AbbVie Inc.,275340787712,199582859264,0.043901574,15699000000.0,4556000000.0,24173000000.0,28661000000.0,6143000000.0,13076000000.0,77553000000.0,6471000000.0,17588000000.0,-798000000.0
1,ABT,Abbott Laboratories,210581159936,205578059776,0.014371895,5553000000.0,4473000000.0,20441000000.0,11907000000.0,10130000000.0,32784000000.0,18527000000.0,3327000000.0,7901000000.0,-2177000000.0
2,AMT,American Tower Corporation (REI,156341780480,123581833216,0.017595857,3149900000.0,1690600000.0,2905600000.0,3655500000.0,20597900000.0,4093500000.0,28474700000.0,1882300000.0,3881400000.0,
3,AXP,American Express Company,139909677056,132368261120,0.010150488,0.0,3036000000.0,147073000000.0,102866000000.0,5015000000.0,22984000000.0,42935000000.0,1543000000.0,5591000000.0,-1479000000.0
4,BA,Boeing Company (The),187127119872,140331008000,0.0,-8659000000.0,-11873000000.0,121642000000.0,87280000000.0,13072000000.0,-18316000000.0,60987000000.0,2246000000.0,-18410000000.0,-1303000000.0
5,BAC,Bank of America Corporation,124501999616,356140941312,0.017299376,0.0,16473000000.0,1009128000000.0,2284457000000.0,11000000000.0,248414000000.0,242582000000.0,1843000000.0,37993000000.0,
6,BLK,"BlackRock, Inc.",138383179776,134030696448,0.017184764,5730000000.0,4932000000.0,29020000000.0,21001000000.0,1330000000.0,35283000000.0,6514000000.0,358000000.0,3743000000.0,-194000000.0
7,BMY,Bristol-Myers Squibb Company,183219994624,148260569088,0.028169015,7751000000.0,-9015000000.0,30192000000.0,19080000000.0,6745000000.0,37822000000.0,48346000000.0,10433000000.0,14052000000.0,-753000000.0
8,C,"Citigroup, Inc.",-225232437248,147814744064,0.028511528,0.0,9879000000.0,1024255000000.0,1779833000000.0,2800000000.0,179962000000.0,220865000000.0,3937000000.0,-20621000000.0,-3446000000.0
9,CAT,"Caterpillar, Inc.",144848371712,118469902336,0.019046739,4957000000.0,2998000000.0,39464000000.0,25717000000.0,8912000000.0,15331000000.0,9646000000.0,2337000000.0,6327000000.0,-2115000000.0
